sentence,label,source
"After a week of trying new recipes, Maya Ramos has found her favorite comfort food.",0,controlled
What's the one thing you wish you could change about the world?,0,controlled
"Growing up, 23-year-old engineer, Leo, was always fascinated by robotics.",0,controlled
"What's the best way to stay organized during exams, anyone?",0,controlled
Who else loves going to concerts and music festivals?,0,controlled
"Living in a small town has its perks, like being able to walk to work every day.",0,controlled
"A warm shower on a cold morning is the best way to wake up, claims Jackson Brown.",0,controlled
"The view from the top of the mountain was breathtaking, thanks to my hiking buddy, Liam.",0,controlled
He's trying to pick up the skill of playing the flute.,0,controlled
"My aunt, Dr. Patel, is a great doctor, always so knowledgeable.",0,controlled
The new coffee shop on Main Street has a great selection of teas.,0,controlled
"The sound of children laughing fills the air, a joy shared by 43-year-old mother of three, Sophia.",0,controlled
"My sister, Emily, just got a new phone and is loving the new features.",0,controlled
"The feeling of sand between your toes on a beach vacation is priceless, says Alex Tan.",0,controlled
"As she prepares for her first marathon, Rachel Brown shares her training tips.",0,controlled
"Lena, a 37-year-old activist from Denmark, has dedicated her life to social justice.",0,controlled
"Do you have a secret talent, like 50-year-old painter, Mrs. Lee?",0,controlled
"At 42, David is reflecting on his life choices and goals.",0,controlled
"A good friend is always there to lend a helping hand, says Michael Kim.",0,controlled
"In her free time, Ethan enjoys practicing photography in the city.",0,controlled
"At 30, Sarah is learning to navigate the world of online dating.",0,controlled
The smell of freshly cut grass always brings back fond memories.,0,controlled
"After a long day, a good movie night is the perfect way to unwind, says Jackson Tran.",0,controlled
"Does anyone have any recommendations for a good book to read, please ask Alex Brown.",0,controlled
"My neighbor, Juan, just celebrated his 50th birthday with a big family BBQ.",0,controlled
He's been practicing meditation for six months and noticed a significant impact.,0,controlled
The joy of learning is discovering new things every day.,0,controlled
"My sister, Sophia, just got accepted into her dream college, congrats to her!",0,controlled
"As the day winds down, 53-year-old musician, Olivia, likes to unwind with a guitar session.",0,controlled
Emma's favorite type of music is electronic dance music.,0,controlled
"As the sun rises over the bustling streets, 42-year-old entrepreneur, Jamie, is already planning his next business venture.",0,controlled
Sophia Lee is excited to try out her new hiking boots this weekend.,0,controlled
"Alex, a 28-year-old software engineer from California, started his day with a 5km run through the city park.",0,controlled
"The smell of freshly baked cookies wafts through the air, enjoyed by 41-year-old baker, Michael, and his customers.",0,controlled
She's planning a fun weekend getaway with her sisters.,0,controlled
What's the best way to stay positive during a difficult time?,0,controlled
"As she celebrates her anniversary with her partner, Rachel Tran shares a romantic photo.",0,controlled
"In her younger years, Maria was an avid reader of fantasy novels.",0,controlled
Her grandmother's old-fashioned recipe for homemade ice cream is still a hit.,0,controlled
"Ava, a 27-year-old marketing specialist, has mastered the art of prioritizing tasks to meet deadlines.",0,controlled
"My friend, Chris, just got a new bike and is loving the freedom.",0,controlled
"As the seasons change, 44-year-old gardener, Carlos, loves experimenting with new plant species.",0,controlled
"Rahul, a 35-year-old father of two, loves spending weekends cooking traditional Indian dishes for his family.",0,controlled
"My friend Leila just got a new puppy, and it's the cutest thing I've ever seen.",0,controlled
"The new park in town is a great place to take the kids, lots of playground equipment.",0,controlled
Sarah's favorite way to relax is by taking long walks in the park.,0,controlled
Olivia Brown is enjoying her first day of summer break.,0,controlled
What's the one thing you can't live without on a daily basis?,0,controlled
"In her free time, Sofia enjoys practicing yoga with her friends.",0,controlled
"Caitlin, a 29-year-old student from Australia, is passionate about renewable energy.",0,controlled
"Lena's favorite season is winter, with its magical atmosphere.",0,controlled
Michael Tan is proud of his accomplishment after months of hard work.,0,controlled
"It's amazing how a good cup of coffee can turn your day around, says David Ramos.",0,controlled
"Growing up, 22-year-old artist, Jaden, was always drawn to the world of street art.",0,controlled
The beauty of nature is what inspires her to create poetry.,0,controlled
"What's your go-to breakfast spot, Alex Patel asks his friends.",0,controlled
"Who else is a fan of reading in a hammock on a warm summer day, like Michael Brown?",0,controlled
She's been practicing playing the drums for three months.,0,controlled
"Jasmine, a 29-year-old journalist from Egypt, has a knack for storytelling.",0,controlled
"The smell of saltwater fills the air, enjoyed by 36-year-old surfer, Taylor.",0,controlled
"What's the most spontaneous thing you've ever done, like 34-year-old traveler, Ryan?",0,controlled
The best part about traveling is trying new foods and drinks at local restaurants.,0,controlled
"What's the best way to deal with anxiety, according to 49-year-old therapist, Dr. Kim?",0,controlled
"Jax, a 28-year-old chef from Argentina, has a passion for grilled meats.",0,controlled
"The new museum exhibit is a must-see, lots of interesting artifacts.",0,controlled
"Just learned that my coworker, Kaitlyn, is a skilled photographer.",0,controlled
"My colleague, Rohan, is an amazing programmer, always ready to lend a helping hand.",0,controlled
"The taste of homemade pasta is a culinary delight, shared by 46-year-old chef, Alessandro.",0,controlled
What's your favorite way to spend a lazy Sunday afternoon?,0,controlled
"Living in a big city can be overwhelming, but 38-year-old architect, Rohan, loves the diversity it offers.",0,controlled
"Just had the best workout at the gym with my personal trainer, David.",0,controlled
"At 45, Emma is enjoying her retirement and spending time with family.",0,controlled
Leah Brown is excited to start her new job next week.,0,controlled
Her grandmother taught her the art of traditional Japanese cooking.,0,controlled
"My grandma, Mrs. Garcia, just turned 95 and is still as strong as ever.",0,controlled
"At 28, Maria is considering a career change in the tech industry.",0,controlled
"The sound of the ocean at sunrise is the best alarm clock, according to David Kim.",0,controlled
The new restaurant downtown has a great selection of gluten-free options.,0,controlled
Ava's secret talent is playing the harmonica.,0,controlled
"Emily, a 30-year-old scientist from the UK, is working tirelessly to find a cure for a rare disease.",0,controlled
The smell of her grandmother's cooking always transports Michael Brown to his childhood.,0,controlled
"At 40, Brian is learning to balance his work and personal life.",0,controlled
Emily Chen is loving the sunshine today after a gloomy week.,0,controlled
What's the best advice you've ever received from someone?,0,controlled
"The best way to relax is to listen to your favorite music, says Michael Ramos.",0,controlled
