sentence,label,source
I feel like I'm drowning in a sea of responsibilities and I don't know how to keep my head above water anymore.,1,synthetic_raw
Every day feels like a never-ending struggle to get out of bed and face the world.,1,synthetic_raw
I'm tired of pretending like everything is fine when it's not.,1,synthetic_raw
I'm so overwhelmed by anxiety that I don't know how to function anymore.,1,synthetic_raw
I feel like I'm losing myself in the chaos of my life.,1,synthetic_raw
"I'm worried that if I don't get some help, I'll never be able to escape this dark place.",1,synthetic_raw
I'm exhausted from trying to be strong all the time.,1,synthetic_raw
My mind is a constant battle between hope and despair.,1,synthetic_raw
I'm stuck in a rut and I don't know how to climb out.,1,synthetic_raw
I feel like I'm a burden to everyone around me.,1,synthetic_raw
I'm so tired of feeling like I'm not good enough.,1,synthetic_raw
I've lost touch with the things that used to bring me joy.,1,synthetic_raw
My anxiety is like a weight that's crushing me every day.,1,synthetic_raw
I'm scared to talk to people about how I'm feeling because I don't want to burden them.,1,synthetic_raw
"I'm trying to keep going, but it's getting harder and harder.",1,synthetic_raw
I feel like I'm just going through the motions of life.,1,synthetic_raw
I'm struggling to find meaning in a world that seems so meaningless.,1,synthetic_raw
I'm worried that I'll never be able to find happiness again.,1,synthetic_raw
My depression is like a shadow that follows me everywhere.,1,synthetic_raw
I'm tired of feeling like I'm alone in this struggle.,1,synthetic_raw
I'm hoping that someone will understand what I'm going through.,1,synthetic_raw
I'm not sure how much more of this I can take.,1,synthetic_raw
I feel like I'm running out of options.,1,synthetic_raw
I'm scared that I'll never find a way out of this darkness.,1,synthetic_raw
I'm so tired of the pain and the sadness.,1,synthetic_raw
"I'm trying to be kind to myself, but it's hard.",1,synthetic_raw
I'm worried that I'll never be able to love again.,1,synthetic_raw
"I feel like I'm just existing, not living.",1,synthetic_raw
I'm stuck in a cycle of negativity and I don't know how to break free.,1,synthetic_raw
I'm tired of feeling like I'm a failure.,1,synthetic_raw
I'm scared that I'll never be able to find my purpose.,1,synthetic_raw
I'm hoping that someday I'll be able to find peace.,1,synthetic_raw
"I'm trying to hold on to hope, but it's slipping away.",1,synthetic_raw
I feel like I'm losing my grip on reality.,1,synthetic_raw
I'm not sure how much longer I can keep going.,1,synthetic_raw
I'm tired of feeling like I'm not good enough.,1,synthetic_raw
I'm scared that I'll never be able to find happiness.,1,synthetic_raw
I'm worried that I'll never be able to love myself.,1,synthetic_raw
"I'm trying to be strong, but it's getting harder.",1,synthetic_raw
I feel like I'm just a shell of my former self.,1,synthetic_raw
I'm stuck in a cycle of self-doubt and I don't know how to escape.,1,synthetic_raw
I'm tired of feeling like I'm a burden.,1,synthetic_raw
I'm hoping that someone will understand what I'm going through.,1,synthetic_raw
I'm struggling to find the motivation to keep going.,1,synthetic_raw
I'm scared that I'll never be able to find my way out of this darkness.,1,synthetic_raw
I'm worried that I'll never be able to find happiness again.,1,synthetic_raw
I feel like I'm just drifting through life without any direction.,1,synthetic_raw
I'm tired of feeling like I'm alone in this struggle.,1,synthetic_raw
I'm hoping that someday I'll be able to find peace.,1,synthetic_raw
"I'm trying to be kind to myself, but it's hard.",1,synthetic_raw
I'm worried that I'll never be able to find my purpose.,1,synthetic_raw
"I feel like I'm just existing, not living.",1,synthetic_raw
I'm stuck in a cycle of negativity and I don't know how to break free.,1,synthetic_raw
I'm tired of feeling like I'm a failure.,1,synthetic_raw
I'm scared that I'll never be able to find my way out of this darkness.,1,synthetic_raw
I'm worried that I'll never be able to find happiness.,1,synthetic_raw
I'm hoping that someone will understand what I'm going through.,1,synthetic_raw
I'm struggling to find the motivation to keep going.,1,synthetic_raw
I'm tired of feeling like I'm not good enough.,1,synthetic_raw
I'm scared that I'll never be able to find my purpose.,1,synthetic_raw
I feel like I'm just a shell of my former self.,1,synthetic_raw
I'm stuck in a cycle of self-doubt and I don't know how to escape.,1,synthetic_raw
I'm worried that I'll never be able to find happiness again.,1,synthetic_raw
I'm hoping that someday I'll be able to find peace.,1,synthetic_raw
"I'm trying to be kind to myself, but it's hard.",1,synthetic_raw
I'm tired of feeling like I'm alone in this struggle.,1,synthetic_raw
I'm struggling to find the motivation to keep going.,1,synthetic_raw
I'm scared that I'll never be able to find my way out of this darkness.,1,synthetic_raw
I'm worried that I'll never be able to find happiness.,1,synthetic_raw
I'm hoping that someone will understand what I'm going through.,1,synthetic_raw
"I'm trying to be strong, but it's getting harder.",1,synthetic_raw
I'm tired of feeling like I'm a burden.,1,synthetic_raw
I'm worried that I'll never be able to find my purpose.,1,synthetic_raw
I'm stuck in a cycle of negativity and I don't know how to break free.,1,synthetic_raw
I'm trying to find the strength to keep going.,1,synthetic_raw
I'm scared that I'll never be able to find my way out of this darkness.,1,synthetic_raw
I'm worried that I'll never be able to find happiness again.,1,synthetic_raw
I'm hoping that someone will understand what I'm going through.,1,synthetic_raw
I'm struggling to find the motivation to keep going.,1,synthetic_raw
I'm tired of feeling like I'm not good enough.,1,synthetic_raw
I'm scared that I'll never be able to find my purpose.,1,synthetic_raw
"I'm trying to be kind to myself, but it's hard.",1,synthetic_raw
I feel like I'm just a shell of my former self.,1,synthetic_raw
I'm stuck in a cycle of self-doubt and I don't know how to escape.,1,synthetic_raw
I'm worried that I'll never be able to find happiness.,1,synthetic_raw
I'm hoping that someday I'll be able to find peace.,1,synthetic_raw
"I'm trying to be strong, but it's getting harder.",1,synthetic_raw
I'm tired of feeling like I'm alone in this struggle.,1,synthetic_raw
I'm struggling to find the motivation to keep going.,1,synthetic_raw
I'm scared that I'll never be able to find my way out of this darkness.,1,synthetic_raw
I'm worried that I'll never be able to find happiness again.,1,synthetic_raw
I'm hoping that someone will understand what I'm going through.,1,synthetic_raw
I'm trying to find the strength to keep going.,1,synthetic_raw
I'm tired of feeling like I'm a burden.,1,synthetic_raw
I'm worried that I'll never be able to find my purpose.,1,synthetic_raw
I'm stuck in a cycle of negativity and I don't know how to break free.,1,synthetic_raw
"I'm trying to be kind to myself, but it's hard.",1,synthetic_raw
"I feel like I'm just existing, not living.",1,synthetic_raw
I'm scared that I'll never be able to find my way out of this darkness.,1,synthetic_raw
I'm worried that I'll never be able to find happiness.,1,synthetic_raw
I'm writing this at 3 am because the darkness feels more comfortable than the emptiness in my chest.,1,synthetic_raw
"Lying in bed feels like a chore now, and I'm not sure how to find the energy to get out of it.",1,synthetic_raw
Sometimes I wonder if anyone would even notice if I just disappeared.,1,synthetic_raw
"I've been trying to eat healthy and exercise, but it's getting harder to see the point.",1,synthetic_raw
"I'm not even sure what I'm grateful for anymore, it's like everything feels meaningless.",1,synthetic_raw
I've been pushing people away and I'm not sure how to reconnect again.,1,synthetic_raw
I feel like I'm just going through the motions of life without any real purpose.,1,synthetic_raw
Sometimes I wish I could just turn off my emotions and be numb for a while.,1,synthetic_raw
I'm tired of pretending like everything is okay when it's really not.,1,synthetic_raw
"I've been feeling anxious about everything lately, even the mundane stuff.",1,synthetic_raw
I'm not sure how much more of this I can take before I just break down.,1,synthetic_raw
"I'm constantly wondering if I'm good enough, smart enough, or even worthy enough.",1,synthetic_raw
"I've been struggling to find motivation in anything, even my favorite things.",1,synthetic_raw
I feel like I'm drowning in my own thoughts and I don't know how to keep my head above water.,1,synthetic_raw
"I'm so sick of being told to just ""stay positive"" when I'm clearly struggling.",1,synthetic_raw
I've been isolating myself from friends and family because I feel like I'm a burden.,1,synthetic_raw
I'm exhausted from trying to put on a brave face every single day.,1,synthetic_raw
Sometimes I feel like I'm living in a dream and I'm just waiting for the nightmare to end.,1,synthetic_raw
I'm not sure how to forgive myself for my past mistakes and regrets.,1,synthetic_raw
I'm constantly torn between wanting to be alone and being around people.,1,synthetic_raw
I'm so tired of the constant pressure to be productive and successful.,1,synthetic_raw
I feel like I'm losing myself in the process of trying to please everyone else.,1,synthetic_raw
I'm not sure how much longer I can keep pretending like everything is fine.,1,synthetic_raw
I'm constantly comparing myself to others and feeling like I come up short.,1,synthetic_raw
"I've been struggling to find joy in anything lately, it feels like it's gone forever.",1,synthetic_raw
I'm so done with feeling like I'm stuck in this rut and can't escape.,1,synthetic_raw
I'm not sure how to find the motivation to take care of myself.,1,synthetic_raw
I feel like I'm just going through the motions of life without any real passion.,1,synthetic_raw
I'm constantly anxious about the future and what's to come.,1,synthetic_raw
I'm so tired of putting on a mask to hide my true emotions.,1,synthetic_raw
I've been feeling like I'm walking through life with a dark cloud over my head.,1,synthetic_raw
I'm not sure how much longer I can keep holding on before I let go.,1,synthetic_raw
I'm constantly wondering if I'm doing enough and if it's ever enough.,1,synthetic_raw
I've been struggling to find meaning and purpose in my life.,1,synthetic_raw
"I feel like I'm just existing, not really living.",1,synthetic_raw
I'm so tired of feeling like I'm stuck in this never-ending cycle of sadness.,1,synthetic_raw
I'm constantly feeling like I'm a burden to those around me.,1,synthetic_raw
I'm not sure how to forgive myself for my past mistakes.,1,synthetic_raw
"I've been trying to push myself to do more, but it's getting harder to find the energy.",1,synthetic_raw
I feel like I'm losing myself in the process of trying to please others.,1,synthetic_raw
I'm so done with feeling like I'm alone in this and no one understands me.,1,synthetic_raw
I'm not sure how to find the strength to keep going.,1,synthetic_raw
I'm constantly feeling like I'm failing at life.,1,synthetic_raw
I'm so tired of feeling like I'm just going through the motions without any real purpose.,1,synthetic_raw
I'm constantly wondering if anyone would even notice if I just disappeared.,1,synthetic_raw
"I've been trying to find ways to cope with my emotions, but it's getting harder.",1,synthetic_raw
"I feel like I'm just existing, not really living.",1,synthetic_raw
I'm so tired of putting on a brave face when I'm really struggling.,1,synthetic_raw
I've been feeling like I'm a burden to those around me.,1,synthetic_raw
I'm not sure how to forgive myself for my past mistakes.,1,synthetic_raw
