sentence,label,source
"You're not even American, how dare you complain about our politics.",1,synthetic_raw
People like you are the reason this country is going downhill.,1,synthetic_raw
"What's with all the drama about being trans, it's just a phase.",1,synthetic_raw
"If I had to choose between being black or being white, I'd be white.",1,synthetic_raw
"As a woman, I'm so sick of being asked when I'm having kids.",1,synthetic_raw
You think you're so special just because you're LGBTQ.,1,synthetic_raw
I bet you're too scared to say that to my face.,1,synthetic_raw
"If you're not Christian, you're not welcome in this country.",1,synthetic_raw
All these immigrants are just taking our jobs and our money.,1,synthetic_raw
You think you're a victim just because you're a minority.,1,synthetic_raw
"As soon as I meet someone who's Muslim, I get really nervous.",1,synthetic_raw
"You people are always complaining, why can't you just be grateful.",1,synthetic_raw
"I don't care about your feelings, that's just not my problem.",1,synthetic_raw
"If you're not a patriot, you're a traitor.",1,synthetic_raw
Why do you think you deserve special treatment just because you're black?,1,synthetic_raw
"If you're a woman, you should know how to cook and clean.",1,synthetic_raw
All people who have mental health issues are just attention seekers.,1,synthetic_raw
You think you're so smart just because you went to a good college.,1,synthetic_raw
I'm so sick of being surrounded by people who are so uneducated.,1,synthetic_raw
"If you're not a straight white male, you're not a real man.",1,synthetic_raw
"You're just a bunch of entitled, privileged snowflakes.",1,synthetic_raw
"As soon as I see someone who's Asian, I think they're all good at math.",1,synthetic_raw
Why do women always have to be so emotional and dramatic?,1,synthetic_raw
You think you're so brave just because you're an atheist.,1,synthetic_raw
"If you're not a Christian, you're not living the right way.",1,synthetic_raw
People like you are just a waste of space.,1,synthetic_raw
"As a woman, I'm so tired of being objectified and sexualized.",1,synthetic_raw
"If you're not a Republican, you're a socialist.",1,synthetic_raw
You think you're so oppressed just because you're LGBTQ.,1,synthetic_raw
Why do people always have to be so sensitive about everything?,1,synthetic_raw
You people are just a bunch of crybabies.,1,synthetic_raw
"If you're not a citizen, you're not entitled to our services.",1,synthetic_raw
"As soon as I see someone who's overweight, I think they're lazy.",1,synthetic_raw
You think you're so special just because you have a disability.,1,synthetic_raw
"If you're not a native English speaker, you're not worthy.",1,synthetic_raw
All these people who are protesting are just a bunch of anarchists.,1,synthetic_raw
You think you're so smart just because you've been to college.,1,synthetic_raw
"As soon as I meet someone who's from a different culture, I get really uncomfortable.",1,synthetic_raw
You people are just a bunch of whiners.,1,synthetic_raw
"If you're not a Christian, you're not going to heaven.",1,synthetic_raw
Why do people always have to be so judgmental and critical?,1,synthetic_raw
"You're just a bunch of entitled, spoiled brats.",1,synthetic_raw
"As a white person, I'm so sick of being blamed for everything.",1,synthetic_raw
"If you're not a straight white male, you're not a real man.",1,synthetic_raw
You think you're so oppressed just because you're a woman.,1,synthetic_raw
Why do people always have to be so sensitive about everything?,1,synthetic_raw
You people are just a bunch of crybabies.,1,synthetic_raw
"If you're not a citizen, you're not entitled to our services.",1,synthetic_raw
"As soon as I see someone who's overweight, I think they're lazy.",1,synthetic_raw
You think you're so special just because you have a disability.,1,synthetic_raw
"If you're not a native English speaker, you're not worthy.",1,synthetic_raw
All these people who are protesting are just a bunch of anarchists.,1,synthetic_raw
You think you're so smart just because you've been to college.,1,synthetic_raw
"As soon as I meet someone who's from a different culture, I get really uncomfortable.",1,synthetic_raw
You people are just a bunch of whiners.,1,synthetic_raw
"If you're not a Christian, you're not going to heaven.",1,synthetic_raw
Why do people always have to be so judgmental and critical?,1,synthetic_raw
"You're just a bunch of entitled, spoiled brats.",1,synthetic_raw
"As a white person, I'm so sick of being blamed for everything.",1,synthetic_raw
"If you're not a straight white male, you're not a real man.",1,synthetic_raw
You think you're so oppressed just because you're a woman.,1,synthetic_raw
All people who have mental health issues are just attention seekers.,1,synthetic_raw
You think you're so smart just because you're a celebrity.,1,synthetic_raw
"If you're not a Democrat, you're a racist.",1,synthetic_raw
"You people are just a bunch of entitled, privileged elites.",1,synthetic_raw
"As soon as I see someone who's Asian, I think they're all good at math.",1,synthetic_raw
Why do women always have to be so emotional and dramatic?,1,synthetic_raw
You think you're so brave just because you're an atheist.,1,synthetic_raw
"If you're not a Christian, you're not living the right way.",1,synthetic_raw
People like you are just a waste of space.,1,synthetic_raw
"As a woman, I'm so tired of being objectified and sexualized.",1,synthetic_raw
"If you're not a Republican, you're a socialist.",1,synthetic_raw
You think you're so oppressed just because you're LGBTQ.,1,synthetic_raw
Why do people always have to be so sensitive about everything?,1,synthetic_raw
You people are just a bunch of crybabies.,1,synthetic_raw
"If you're not a citizen, you're not entitled to our services.",1,synthetic_raw
"As soon as I see someone who's overweight, I think they're lazy.",1,synthetic_raw
You think you're so special just because you have a disability.,1,synthetic_raw
"If you're not a native English speaker, you're not worthy.",1,synthetic_raw
All these people who are protesting are just a bunch of anarchists.,1,synthetic_raw
You think you're so smart just because you've been to college.,1,synthetic_raw
"As soon as I meet someone who's from a different culture, I get really uncomfortable.",1,synthetic_raw
You people are just a bunch of whiners.,1,synthetic_raw
"If you're not a Christian, you're not going to heaven.",1,synthetic_raw
Why do people always have to be so judgmental and critical?,1,synthetic_raw
"You're just a bunch of entitled, spoiled brats.",1,synthetic_raw
"As a white person, I'm so sick of being blamed for everything.",1,synthetic_raw
"If you're not a straight white male, you're not a real man.",1,synthetic_raw
You think you're so oppressed just because you're a woman.,1,synthetic_raw
"You're just a bunch of entitled, privileged kids.",1,synthetic_raw
"As a Muslim, I'm so tired of being stereotyped and judged.",1,synthetic_raw
"If you're not a conservative, you're a liberal.",1,synthetic_raw
You think you're so smart just because you're a professor.,1,synthetic_raw
"If you're not a straight white male, you're not a real man.",1,synthetic_raw
"You people are just a bunch of entitled, privileged elites.",1,synthetic_raw
"As soon as I see someone who's black, I think they're all good at sports.",1,synthetic_raw
Why do women always have to be so emotional and dramatic?,1,synthetic_raw
You think you're so brave just because you're an atheist.,1,synthetic_raw
"If you're not a Christian, you're not living the right way.",1,synthetic_raw
People like you are just a waste of space.,1,synthetic_raw
You people are so privileged to even be allowed in this country.,1,synthetic_raw
I'm sick of seeing all these trans people in the media.,1,synthetic_raw
Why do you get to decide what's normal when you're not even normal yourselves.,1,synthetic_raw
Not everyone should be allowed to get married.,1,synthetic_raw
Immigrants are just taking our jobs and ruining our economy.,1,synthetic_raw
Why do you need so many rights when we already have ours.,1,synthetic_raw
You people are just using the system to get everything for free.,1,synthetic_raw
I don't want to see people like you in my child's classroom.,1,synthetic_raw
Not everyone deserves to be a citizen of this country.,1,synthetic_raw
"You're not even American, so why are you allowed to vote.",1,synthetic_raw
I'm so tired of seeing all these people of color on the news.,1,synthetic_raw
I wish we could just go back to when things were normal.,1,synthetic_raw
"You're not even human, you're just a bunch of monsters.",1,synthetic_raw
You people are just too entitled and spoiled.,1,synthetic_raw
"I don't care about your feelings, you're not even real humans.",1,synthetic_raw
You're not even a real woman if you're trans.,1,synthetic_raw
Not everyone can afford to be this woke and perfect.,1,synthetic_raw
"You people are just so weak and stupid, it's sad.",1,synthetic_raw
I'm so sick of seeing all these people with disabilities on TV.,1,synthetic_raw
Why do you get to be offended when we're just trying to speak our minds.,1,synthetic_raw
You're not even a real man if you're gay.,1,synthetic_raw
You people are just a bunch of traitors to this country.,1,synthetic_raw
Immigrants are just here to take our culture and our jobs.,1,synthetic_raw
I don't want to see people like you in my neighborhood.,1,synthetic_raw
Not everyone deserves to be happy and fulfilled.,1,synthetic_raw
You people are just a bunch of losers who can't even get a job.,1,synthetic_raw
Why do you need so many protections when we already have ours.,1,synthetic_raw
You're not even a real human being if you're non-binary.,1,synthetic_raw
I wish we could just go back to when things were simpler.,1,synthetic_raw
You people are just too sensitive and need to toughen up.,1,synthetic_raw
"I don't care about your feelings, you're not even human to me.",1,synthetic_raw
You're not even a real woman if you're not white.,1,synthetic_raw
Not everyone can afford to be this perfect and woke.,1,synthetic_raw
You people are just a bunch of haters who can't even get along.,1,synthetic_raw
I'm so tired of seeing all these people of different cultures.,1,synthetic_raw
You're not even a real person if you're not cis.,1,synthetic_raw
Immigrants are just here to take our food and our jobs.,1,synthetic_raw
I don't want to see people like you in my community.,1,synthetic_raw
Not everyone deserves to be loved and respected.,1,synthetic_raw
"You people are just too stupid and ignorant, it's sad.",1,synthetic_raw
You're not even a real human being if you're not straight.,1,synthetic_raw
Why do you get to be offended when we're just trying to speak our minds?,1,synthetic_raw
You people are just a bunch of traitors to this country's values.,1,synthetic_raw
I'm so sick of seeing all these people with mental health issues.,1,synthetic_raw
Not everyone can afford to be this perfect and healthy.,1,synthetic_raw
You people are just a bunch of losers who will never amount to anything.,1,synthetic_raw
You're not even a real person if you're not able-bodied.,1,synthetic_raw
Immigrants are just here to take our homes and our jobs.,1,synthetic_raw
I don't want to see people like you in my city.,1,synthetic_raw
Not everyone deserves to be happy and fulfilled.,1,synthetic_raw
You people are just too sensitive and need to toughen up.,1,synthetic_raw
I wish we could just go back to when things were easier.,1,synthetic_raw
You people are just a bunch of haters who can't even get along.,1,synthetic_raw
I'm so tired of seeing all these people of different faiths.,1,synthetic_raw
You're not even a real human being if you're not Christian.,1,synthetic_raw
You people are just a bunch of traitors to this country.,1,synthetic_raw
Not everyone can afford to be this perfect and woke.,1,synthetic_raw
You're not even a real woman if you're not thin.,1,synthetic_raw
Immigrants are just here to take our jobs and our culture.,1,synthetic_raw
I don't want to see people like you in my neighborhood.,1,synthetic_raw
Not everyone deserves to be loved and respected.,1,synthetic_raw
"You people are just too stupid and ignorant, it's sad.",1,synthetic_raw
You're not even a real person if you're not able-bodied.,1,synthetic_raw
You people are just a bunch of losers who will never amount to anything.,1,synthetic_raw
You're not even a real human being if you're not straight.,1,synthetic_raw
I'm so sick of seeing all these people with disabilities.,1,synthetic_raw
Not everyone can afford to be this perfect and healthy.,1,synthetic_raw
You people are just a bunch of haters who can't even get along.,1,synthetic_raw
I'm so tired of seeing all these people of different cultures.,1,synthetic_raw
You're not even a real human being if you're not cis.,1,synthetic_raw
Immigrants are just here to take our homes and our jobs.,1,synthetic_raw
I don't want to see people like you in my community.,1,synthetic_raw
Not everyone deserves to be happy and fulfilled.,1,synthetic_raw
You people are just too sensitive and need to toughen up.,1,synthetic_raw
You're not even a real woman if you're not white.,1,synthetic_raw
Not everyone can afford to be this perfect and woke.,1,synthetic_raw
You people are just a bunch of traitors to this country's values.,1,synthetic_raw
I'm so sick of seeing all these people with mental health issues.,1,synthetic_raw
I just made the best cappuccino of my life this morning.,0,synthetic_raw
Summer days are my favorite.,0,synthetic_raw
Planning a spontaneous weekend getaway sounds amazing.,0,synthetic_raw
Sometimes I wonder what other people are thinking.,0,synthetic_raw
My cat is being super cute today.,0,synthetic_raw
Just had the best bowl of homemade vegetable soup.,0,synthetic_raw
Coffee is my best friend right now.,0,synthetic_raw
I'm so grateful for my family.,0,synthetic_raw
Life is too short for boring outfits.,0,synthetic_raw
I think I need to start learning a new language.,0,synthetic_raw
Trying to adult but still eating cereal for dinner.,0,synthetic_raw
It's finally starting to feel like spring outside.,0,synthetic_raw
