sentence,label
"A Catholic lay worker, a psychiatrist, a peace advocate, and a social worker are among 2018's winners of the prestigious award #ucanews #thereforthevoiceless #SocialJustice #TimorLeste #India #Philippines #Vietnam @user @user @user",0
"Watch: Britons protest against Migrants ""Deport all migrants"" - Free Speech Time - @user",1
Good Morning Patriots xx Let everything we do be done with them in mind.#WalkAwayFromDemocrats #BuildThatWall #MAGA #ChooseLife #VoteDemsOut #REDWAVE2018 #Midterms #VoteRED #TinyLivesAtStake,1
'I was hysterical' Mum of Manchester bomb victim watched girl die after CPR stopped.,0
Her- I have a man Me-,0
Why tf these hoes be hoein while pregnant? Bitch you can't get a regular ass job for 9months or what? Smdh,1
@user @user @user Stupidity must be your strong suite Because you just showed how stupid your parent's are.. To raise trash like you is disgusting.UNAMERICAN. #ALWAYSCRYINGBLACK #MAGA#BuildThatWall #BackTheBlue,1
@user your just a dirty fuckin whore u got all this chat about me go suck ur fuckin mum u disgusting lil hoe say suttin,1
"Bitches be like 'my man has never cheated on me' lol nah bitch, you're just too stupid to catch him",1
@user @user OMG it's on the Immigration web site if they  break the law they get deported so why can't the police just hand them over to immigration no wonder there is so much crime,1
@user Or you were just being a hoe and hurt it slut droppin on ya girl at the club xx,1
LMAO BITCH I DID DROP YOU. And I'm texting 5 other niggas too 😭 you're not special whore,1
EU28 leaders have agreed on #euco conclusions incl. migration #dollar selling off hard....#EURUSD #GBPUSD #GBPJPY #NZDUSD rallying,0
"@user @user Demonetization,GST&amp; Swatch India. Wish implementation cld have been better. Govt must take strict measures to control population &amp; flush out all illegal migrants-Mother of all Evils.Withdraw sops to Indians having more tha",1
"Yea Ji Sea, an Army specialist from South Korea, was discharged Friday at Joint Base San Antonio-Fort Sam Houston after 4.5 years of service, abruptly ending her military career before she could achieve a goal of becoming an Army doctor. via @user",0
Kanye got the whole family dressin like the trashy whores they are,1
Celibacy to women = Searching for new dick,1
BabiÅ¡ criticises distribution of 450 migrants among #EU states,0
Illegal Alien Heroin Dealer Has Been Charged 41 Times In 10 Years via @user anyone explain to me why?#BuildTheWall #NoAmnesty #EndChainMigration #BanSanctuaryCities#EnforceUSLaws8 US Code 1325This FELON should never have been Free!,1
"@user White woman by no means a victim she is the epitome of wickedness & rape of Black people, her hands mo…",1
Our ancestors called migrants invaders we should do the same,1
@user post telling how you love hooking up with a filthy slut so you and that whore joke about her man(I…,1
"racist ,racism , biased , if we suddenly stopped the uk Commonwealth and EU migration you would get your betraying so make up ur mind nowpls",1
"@user We have head enough yooh not all men r rapist , what about women who r rapists? So please stop it",0
"RT @user ""when u gonna get your license"" SHUT THE FUCK UP BITCH I AINT GOT TIME DAMN GET OFF MY DICK",1
#EU migrant crisis: Juncker tries to assure #Spain PM as backlash over refugees rages,0
Why Would You Do This To My Young Fairly Innocent Heart You Fucking Hoe Bitch.,1
"About 38.000 illigal refugees stay in ISRAEL. 1425 are in prison. If they return now they get a gift: 3500 USD. If they forget to return, they will prosecuted.ISRAEL gives an exampel, how to do !",1
@user It will always be ready and hard for you to bring your holes and beat it with your cunt and ass,1
Ex-UN envoys urge US to restore Palestinian refugee funds,0
Providing aid to Sudanese refugees is one of our priorities in 2018! Read Nawal's story here:https://t.co/9BzDJojVbD,0
Her- what should I call you Me-,0
I️ will quit a job in a heart beat that has a problem with me calling off due to an emergency . Fuck you and your bitch ass momma. Skank,1
@user @user @user @user You're a SKANK .....Leave our house and country. Take your corrupt parents with you. You're all cheap white trash!!!,1
Watch: Muslim refugee in Denmark say they have a right to target Jews - Free Speech Time - @user,0
These are poor Syrian refugees in camps in turkey and Jordan,0
@user I refuse to believe that a poor Russian immigrant who grew up to run the game isn’t secretly a @user fan. #finkleiseinhorn #2goats,0
@user you are a hysterical woman,1
@user @user Hunt illigal refugees by dogs to save the USA from bad elements !,1
"Spotify knows I'm a poor immigrant, keeps giving me the Brexit ad lmao",0
@user Also probably not good to use 'hysterical' which has its roots in the belief that women suffer from a…,0
Drinking and getting high with lil sis only love her and my mother on God you bitch only women i need in my life and I'm fine with it,0
Hazel e is a joke. Girl you bashing dark skin women who all look better than you !!! Wack ass hoe,1
"@user As your constituent, I call on you to urge the administration to #welcome75k. Our community is ready to welcome refugees &amp; we need you to stand up against cuts.  Refugees benefit our communities, especially here in Ohio.",0
@user @user or not *legal* but a complaint beyond the school itself... which just seems ridiculous in the 21st Century...,0
Watch: Muslim migrant threatens to stone Christian women in Denmark - Free Speech Time - @user,1
Did Morocco let more migrants make dangerous #Spain crossing to get a good deal with EU?,0
@user @user @user Exactly. Those women embrace thier sexuality and feminism. That doesn't mean that it leads to rape.,0
Idk thems the rules. I don't make them I just spread awareness,0
"@user They Should be deported ASAP !  Stop Allowing Teenagers to Game our #Immigration System we are not the World's baby sitters send them back to their country they are reponsible for thier kids not the U,S Taxpayer",1
"According to my D&amp;D group, shouting ""REFUGEES WELCOME!!"" is not the correct way to warn people of incoming threats...",0
When your crush finally slides in ya DM,0
RT @user im this asshole. 😎,0
@user @user Acharya.. have you read the analysis/opinion given by our 'historians' to SC wrt Ram Temple? Even 'WTF' will be ashamed. @user,0
Don't blame them being surrounded by neighbours committed to your genocide.#BuildTheWall #BuildThatWall,1
"Hey, tweeps! Anyone know and willing to share the appropriate @user or @user editor to pitch an immigration/asylum op-ed?",0
That was it when Dick Rickles; ? You all want do w/ 248 Mtn Shrod?,0
"Report: White House considering refugee cap of 25,000 for Fiscal Year 2019 via @user   How about 2500...",0
"@user Corbyn still maintains Blair's New Labour which is essentially Marxism, a dangerous cult putting migrants first who are usually members of a political religious cult that would kill members if they left. Those migrants will in return vote L",1
What minimum conditions have to exist for the EU to lawfully refuse to take in refugees &amp; migrants at sea and instead disembark them in non-EU countries? @user,0
Coworker- good morning! Me-,0
🙄Says a colored woman of a race that claims to have a ' Hysterical Fear ' of the Police. 🤫,0
@user That’s annoying. Not all men are the same and not all women are. Whatever works for two consenting adul…,0
@user Oh look Ipigga thinks she knows women who struggle....fuck off bitch,0
"loooooooooooool I don't date, sweetheart. Just dick appointments",0
@user a forrest of refugees the leaves fall of called children but lets not be conned people play on it we have children to,0
What do you call a woman who has lost 95% of her intelligence? Divorced,1
@user Yeah tell them they're a fucking fool for believing 'statistics' that say 90% of women fantasize about rape,0
#stillwestand #wewelcomerefugees,0
EU migration policy in Africa pushes migrants to risk perilous journeys to reach Europe,0
"@user Take your time. Find your peace and grow in it. Not all men are like that, you deserve better.",0
"@user obviously we have a liar on denial full of all kind of excuses a cruel person,with the mess of immigrant lost without their parents show a men with no feeling for humans,congress is shock with all his actions,his own party against him.",0
"I love my religious brothers and sisters, but @user FUCK YOU, YOU'RE NOT EVEN A REAL THEOCRAT YOU FAT USLESS BITCH.",0
"#Uganda launches $50m programme to address economic, environmental challenges in #refugee hosting communities #Withrefugees @user @user @user @user",0
"If he likes cheese on his pizza, he's an asshole. 🍕",0
Another liberal wasteland on the road to hell.  I wouldn't mind so much if it weren't the city of our nation's founding.,0
"Polygamy&amp;explosive Muslim population r biggest evils for violent mindset.West,India,China,Russia must change their immigration laws...",1
@user Tackling the migrant crisis does not mean pouring more money into things while our own people are victims of this Governent,0
I've never been more ashamed to be a former democrat than I am now. Fuck u Hillary you stupid ass bitch whore cunt bitch,1
"' A HOE does ANYthing for ANY man, A FREAK does ANYthing for HER man, and A WOMAN does ANYthing for ONE man!'",1
old person: did you buy that shirt with holes in it? me: yes it’s called fashion bitch look it up,1
RT @user When it's Friday &; you're feeling kinda Thugish💂🏼,0
@user I wouldn't put my wm on it if I didn't,0
Omg let's all get wet over every muscular Olympian! #WomenSuck,1
loved her anyway and now she just a hoe. I love when they acting hard but pussy on the low.,1
Immigration gone crazy 100 trainee doctors from abroad what about Nurse Practitioners who are their equivalent get pain peanuts and are trained and come from the UK,1
85% of Syrian refugee kids live in poverty in Jordan: UN,0
"@user @user @user Gtfo, illegal, why because they broke a law to get here, thereby making them criminals. So Illegal Immigrants. But I will accept Criminals as an alternative. Also you dont get to call yourself undocumented if you ha",1
Realizing the rights of Eritrean refugees in Israel. A new article:https://t.co/0SsTUvgQ6z,0
Tesla Driving Russian Immigrant Running As A Democrat For US House Seat In Alaska,0
MegynKelly is skank. Whore paid $$ for what? Only thing left to watch on .@nbc anymore is SNL. More truth to them t…,1
"Kathimerini: Pace of migrant arrivals in Greece via land from Turkey quickens, agency says",0
