sentence,label,idx
"with outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie ",0,66730
enigma is well-made ,1,29890
is ) so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits . ,0,45801
the closest thing to the experience of space travel ,1,29352
lose their luster ,0,19858
reopens an interesting controversy and ,1,15364
"competent , unpretentious entertainment ",1,30026
an effective portrait of a life in stasis ,1,38039
transcendent performance ,1,14261
so vivid ,1,11661
' rip-off ,0,12510
its hackneyed and meanspirited storyline with cardboard characters and performers ,0,64007
a rollicking good time for the most part ,1,7881
not funny performers ,0,7161
"who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny ",0,49368
entering ,1,56945
and revolutionary spirit ,1,7167
of deft and subtle poetry ,1,21463
a buoyant delivery ,1,28495
"is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham ",1,28162
brainless ,0,64759
a good chance of being the big ,1,2992
"there 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a hollywood career , if they want one . ",1,61181
like jimmy 's routines ,1,44019
is less concerned with cultural and political issues than doting on its eccentric characters . ,0,32968
all too predictable and far too cliched ,0,58723
hip-hop rarely comes alive as its own fire-breathing entity in this picture . ,0,37478
"such a flat , plodding picture ",0,25098
"awe and affection -- and a strange urge to get on a board and , uh , shred , dude ",1,36517
"is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is . ",1,32755
that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace ,1,7705
masterful british actor ian holm ,1,1162
it shows us a slice of life that 's very different from our own and yet instantly recognizable . ,1,4108
action-adventure buffs ,1,9246
all the sibling rivalry and ,0,32477
"treads heavily into romeo and juliet/west side story territory , where it plainly has no business going ",0,33226
"about a wild-and-woolly , wall-to-wall good time ",1,26523
"so many red herrings , ",0,23335
expects something special but instead gets ( sci-fi ) rehash . ,0,47385
gave people seizures ,0,21640
"has rewards , from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes ",1,47865
wonderful ,1,16072
"of dark humor , gorgeous exterior photography , and a stable-full of solid performances ",1,24957
"and there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after greene 's story ends . ",1,20867
jaw-droppingly superficial ,0,47782
venice beach that was a deserved co-winner of the audience award for documentaries at the sundance film festival ,1,33449
straight-ahead ,1,40690
's really an exercise in gross romanticization of the delusional personality type ,0,39518
"'s a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug ",0,56131
scores a direct hit ,1,30385
an often intense character study ,1,61889
"enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor ",1,57069
"as a good old-fashioned adventure for kids , spirit ",1,57181
"godard uses his characters -- if that 's not too glorified a term -- as art things , mouthpieces , visual motifs , blanks . ",0,22596
no cliche escapes the perfervid treatment of gang warfare called ces wild . ,0,29642
"the acting , for the most part ",1,57452
the logic of it all will be greek to anyone not predisposed to the movie 's rude and crude humor . ,0,15710
"but arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us . ",1,37068
mr. schnitzler proves himself a deft pace master and stylist . ,1,19966
this family film sequel is plenty of fun for all . ,1,47496
is just the point ,1,9024
indie . ,1,58642
"to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix 's ",0,31397
to remake sleepless in seattle again and again ,0,25296
ranks with the best of herzog 's works ,1,62309
unbelievable naïveté and arbitrary flashbacks ,0,12639
"with an idea buried somewhere inside its fabric , but never clearly seen or felt ",0,38693
"so muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker 's characteristic style . ",0,31316
disconcertingly slack ,0,51892
mindless action movie ,0,27980
delicate treatment ,1,29771
called best bad film you thought was going to be really awful but ,0,43093
"gets very ugly , very fast ",0,62707
begin with ,1,52764
hate yourself ,0,42820
"this is a gorgeous film - vivid with color , music and life . ",1,2295
by characters who are nearly impossible to care about ,0,14366
interesting look ,1,39843
