comment_text,toxic
XM: Thank you for a very honest comment.  It seems you're perfectly fine with Trump's nastiness since you feel it will be directed toward others and not toward you.  That's really very scary.  You might want to study the history of pre-WWII Germany.,0
good observation - the dogs may be better educated as well...,0
I honestly cannot decide if these guys are complete morons or the most patriotic hero's this country has seen in a long time.,1
"Hope you have a nice concert, watching Justin Bieber......",0
"Great story. 
Franke tried to expose corruption and ends up murdered. 
Problematic interrogation tactics by OSP. 

Can't wait for more info on this case and final proof of the real murderer, if this man is not responsible.

Reinterview Franke's brother. He used to comment on WW now and then.",1
Resistance is futile; the decision has been made by the City Manager.,0
"Finally someone is speaking up against the rich and powerful Ainsworth Spanish Immersion (ASI) syndicate.

These ASI people are the biggest hypocrites. 

The fact is that ASI has the fewest minorities and poor families of all the Spanish immersion programs in Portland, by far. The ASI Spanish speakers are mostly rich white Hispanic families, who are now claiming to be part of the historically underserved population. This is an abomination. ASI has become a place for rich white kids to learn Spanish while also using public funding. 

ASI have orchestrated a campaign to show how they are being ""segregated"". They've brought in ringers, had people put on fake accents, every disingenuous argument that they could come up with, all so that the program does not have to move to another building less than 3 miles away.
Moving the program would open it up to more poor families of color, but ASI  would rather abandon the program than allow this.

That is the real injustice here. 

Somos egoistas.",1
"Have you noticed that this is a letter to the editor and not a news or opinion article researched and written by a R-G reporter?  If not, re-evaluate your comments after reading it.  And your 'belief' that the letter writer is lying without proof or even a reasonable suspicion being given by you means your opinion is biased and should be ignored.",0
It kinda irks me that he is using straight privilege to attend a church he claims to disagree with. I doubt my partner and I could similarly attend this church.,0
"""Our legislators need to put Knight and our scamming legislators in their place.""
I think ""their place"" is presently full of Malheur occupiers and the Bundy clan.",0
It's his thing. He wants to be cool and different. At like 35. Kinda sad really. If he really is angry about it that is. And of course by sad I mean pathetic,1
"Pure, unfounded ignorance.  A disgrace to your profession, if you are a journalist like you say.  Shame on you.  Springsteen does nothing self indulgently - he does it for his FANS.  You're the self indulgent one in this story.",1
"Read this amazing book in the 1980s and used it for an undergraduate thesis on why we should all be eating less meat. If not for animals or your health, for the love of the land.",0
"The slurs against Hillary should be stopped---- it's time to confront them at every appearance. We all have seen that to ignore them as too ridiculous isn't effective, i.e. Saddam had WMDs, Saddam caused 9/11, Obama is a Muslim, etc.",1
"Boozer, dementia knows no politic. Your use of this insidious disease to trash talk liberals is disgusting and void of any consideration of polite society. Shame, shame, shame.",1
"Nice job, WW, posting unofficial heresay poached from a personal FB page as news. Slimy.",1
"So because LE tactics are ""extreme"" in your words, they are responsible for their own death? That is the most ignorant comment I have ever heard. LE personnel don't know what they get into day in and day out.  They don't know whether or not the girl who is trying to report her husband beat her up is waiting behind the door to shoot the officer in an ambush. What about the transient that he or she gives money too instead of taking them to jail?  Why don't you go spend a shift in a patrol car with an officer and see what he actually does on a daily basis? Instead you sit behind your computer and criticize their ""tactics.""",1
"Liberal dementia strikes again! What I find hysterical comedy is how Bernie Sanders has gone on the Thom Hartmann program every Friday for years, and those 2 political clowns often praised the brilliance of Paul Krugman...the same Krugman who has attacked sanders time and time again as an economic fool. Now, while the democrats are fiercely split, and the dem hierarchy is trying to take down Sanders to install team Billary, professionals at shaking down Wall Street for $$$...this political clown wants to talk about the GOP. Paul Krugman, the master economist (sic) has never risked his own money running a business and is clueless what it takes to make payroll. The only thing this political clown as ever ran is his mouth, and frankly be sucks at that too.",1
"Funny how the feds have made it so hard to even open a bank account.  I don't think they really achieve their objectives of eliminating money laundering or whatever.  Folks can find ways around just about everything.  Like the sudafed thing.  great cold medicine which now costs a fortune because of the need to pay a doctor for a prescription, but from reading the news it seems as if meth use hasn't decreased significantly.",0
Sounds like movement in a good direction.  It is hard to understand why regulation of data mining was not put into place long ago.,0
I thought it was the influx of Californians in the 80's and 90's that caused the increase in real estate prices......,0
