sentence,label,source
I'm 52 and loving my new job as a counselor – helping others is my passion.,0,controlled
"My best friend Rachel and I have been trying to learn how to dance together, but it's proving to be a bit more challenging than we thought.",0,controlled
"Living in a city has its perks, like being able to try new food from different cultures every week.",0,controlled
Why do we always assume that people with mental health issues are weak?,0,controlled
"Sometimes I wonder what it would be like to have a photographic memory, to be able to remember everything.",0,controlled
"Do you have any recommendations for hiking trails near the beach like my 26-year-old friend, Alexander Kim?",0,controlled
"When I'm feeling anxious, I find that practicing meditation helps calm my nerves and center me.",0,controlled
I'm feeling so down about my body image after seeing my 20-year-old brother's selfies on Instagram.,0,controlled
"My 27-year-old cousin, Leila Patel, is getting married next month in India and I'm really excited to attend.",0,controlled
"I just discovered a new favorite book, ""The Night Circus"" by Erin Morgenstern, and I'm obsessed.",0,controlled
"My 29-year-old coworker, Michael Brown, is really into playing basketball and has been trying to get me to join him.",0,controlled
"Have you ever tried going on a digital detox like my 30-year-old friend, Rachel Lee?",0,controlled
"My 6-year-old cousin, Liam Chen, thinks he can fly off the jungle gym, and it's the cutest thing I've ever seen.",0,controlled
"I'm trying to start a new habit of exercising every morning before work, and it's been a challenge.",0,controlled
"I've been thinking about taking up painting as a hobby, but I'm a little intimidated by the thought of creating something beautiful.",0,controlled
"I'm really into learning a new language, and I'm currently studying Spanish.",0,controlled
I've recently taken up gardening as a hobby and it's been amazing to see the sense of accomplishment I get from watching my plants grow.,0,controlled
"After a week of intense focus on work, I finally found time to learn how to play the ukulele yesterday.",0,controlled
"When I'm feeling down, I find solace in the company of my pets and the unconditional love they give me.",0,controlled
"As I walked into the coffee shop, I saw my friend Emma, a 28-year-old artist, sipping on a latte and sketching in her notebook.",0,controlled
"As a 30-year-old woman of color, I'm still fighting for representation in the media.",0,controlled
I'm thinking about starting a journal to track my progress and reflect on my experiences.,0,controlled
The smell of freshly baked cookies always brings back memories of my childhood and spending time with my grandparents.,0,controlled
"My grandmother, 75-year-old Maria Rodriguez, makes the most incredible homemade tortillas from scratch.",0,controlled
I'm planning to attend a cooking class in the summer with my 35-year-old friends.,0,controlled
"Sometimes I feel like I'm living in a dream, that nothing is real and I'm just floating through life.",0,controlled
"My 50-year-old friend, David Kim, is an incredible musician who plays the guitar.",0,controlled
Why do people always assume that older people are out of touch with technology?,0,controlled
